Neighbourhood,NeighbourhoodId,CityGrantsFunding,NeighbourhoodEquityScore,SalvationArmyDonors,WalkScore,WatermainBreaks
West Humber-Clairville,1,123283,45.78,640,57,30
Mount Olive-Silverstone-Jamestown,2,238172,29.29,222,61,8
Thistletown-Beaumond Heights,3,7296,39.78,218,54,9
Rexdale-Kipling,4,35100,43.76,336,58,5
Elms-Old Rexdale,5,0,29.54,152,48,10
Kingsview Village-The Westway,6,0,41.76,681,56,21
Willowridge-Martingrove-Richview,7,14425,54.46,1186,51,5
Humber Heights-Westmount,8,32400,56.13,595,58,31
Edenbridge-Humber Valley,9,0,63.36,1192,49,22
Princess-Rosethorn,10,0,76.57,1139,48,19
Eringate-Centennial-West Deane,11,0,62.56,950,57,12
Markland Wood,12,1200,74.88,953,69,11
Etobicoke West Mall,13,64200,51.19,424,74,3
Islington-City Centre West,14,12500,62.51,2012,72,32
Kingsway South,15,0,86.19,1047,68,4
Stonegate-Queensway,16,0,69.29,1440,67,24
Mimico,17,3000,62.36,873,71,6
New Toronto,18,0,53.21,279,79,6
Long Branch,19,0,56.26,308,72,11
Alderwood,20,0,63.88,599,70,20
Humber Summit,21,0,34.3,179,61,7
Humbermede,22,0,36.09,200,58,4
Pelmo Park-Humberlea,23,0,53.79,258,57,2
Black Creek,24,45890,21.38,126,62,3
Glenfield-Jane Heights,25,196977,24.39,247,61,20
Downsview-Roding-CFB,26,399478,37.16,538,59,26
York University Heights,27,23870,37.66,408,60,13
Rustic,28,0,35.4,156,60,4
Maple Leaf,29,0,50.72,163,66,8
Brookhaven-Amesbury,30,16300,43.07,201,62,4
Yorkdale-Glen Park,31,59894,49.53,335,72,13
Englemount-Lawrence,32,18000,56.01,482,70,13
Clanton Park,33,0,69.53,268,63,11
Bathurst Manor,34,2800,58.41,300,61,20
Westminster-Branson,35,4000,46.57,381,61,2
Newtonbrook West,36,22705,56.07,544,69,22
Willowdale West,37,0,67.04,633,78,12
Lansing-Westgate,38,12000,76.15,695,77,10
Bedford Park-Nortown,39,28000,81.55,1157,73,29
St.Andrew-Windfields,40,0,77.43,1066,60,18
Bridle Path-Sunnybrook-York Mills,41,6500,83.04,749,58,10
Banbury-Don Mills,42,0,73.19,2145,67,12
Victoria Village,43,9000,40.39,586,71,13
Flemingdon Park,44,235152,35.81,266,63,2
Parkwoods-Donalda,45,0,53.79,1211,63,10
Pleasant View,46,0,65.72,423,66,15
Don Valley Village,47,15200,60.52,702,79,8
Hillcrest Village,48,25000,65.84,587,68,24
Bayview Woods-Steeles,49,0,62.37,541,57,13
Newtonbrook East,50,30649,65.18,591,64,17
Willowdale East,51,20000,69.67,1266,84,20
Bayview Village,52,0,71.65,742,71,15
Henry Farm,53,12468,51.87,338,76,4
O'Connor-Parkview,54,8000,48.67,858,67,12
Thorncliffe Park,55,38000,33.09,471,73,5
Leaside-Bennington,56,0,85.82,1506,77,18
Broadview North,57,79513,53.69,317,74,3
Old East York,58,0,65.61,444,69,0
Danforth-East York,59,2600,66.94,587,77,3
